Word,WordCount
testing,17
tests,12
I,10
project,8
main,6
work,6
essays,6
also,5
framework,5
students,5
every,5
part,5
resources,5
given,5
automated,5
already,5
way,4
features,4
could,4
user,4
however,4
therefore,4
time,4
finally,4
code,4
thanks,3
via,3
done,3
familiar,3
different,3
angular,3
javascript,3
3,3
essay,3
thus,3
background,3
used,3
objectives,3
create,3
development,3
strategy,3
tools,3
along,3
new,3
functionalities,3
important,3
tasks,3
team,3
1,2
publication,2
registry,2
system,2
two,2
server,2
built,2
database,2
gathers,2
accessible,2
requests,2
side,2
much,2
client,2
4,2
written,2
reviewed,2
example,2
event,2
corresponding,2
cited,2
since,2
role,2
admin,2
moderator,2
etc,2
end,2
get,2
resource,2
furthermore,2
one,2
order,2
2,2
agile,2
method,2
build,2
consisted,2
ensuring,2
ie,2
results,2
chapter,2
realizing,2
realize,2
jasmine,2
write,2
really,2
karma,2
test,2
configured,2
automatically,2
aspect,2
existing,2
